,date,price,asin,market
209,2015-07-29,0.0,B09GSWML11,us
210,2015-07-30,0.0,B09GSWML11,us
211,2015-07-31,0.0,B09GSWML11,us
212,2015-08-01,0.0,B09GSWML11,us
213,2015-08-02,0.0,B09GSWML11,us
214,2015-08-03,0.0,B09GSWML11,us
215,2015-08-04,0.0,B09GSWML11,us
216,2015-08-05,0.0,B09GSWML11,us
217,2015-08-06,0.0,B09GSWML11,us
218,2015-08-07,0.0,B09GSWML11,us
219,2015-08-08,0.0,B09GSWML11,us
220,2015-08-09,0.0,B09GSWML11,us
221,2015-08-10,0.0,B09GSWML11,us
222,2015-08-11,0.0,B09GSWML11,us
223,2015-08-12,0.0,B09GSWML11,us
224,2015-08-13,0.0,B09GSWML11,us
225,2015-08-14,0.0,B09GSWML11,us
226,2015-08-15,0.0,B09GSWML11,us
227,2015-08-16,0.0,B09GSWML11,us
228,2015-08-17,0.0,B09GSWML11,us
229,2015-08-18,0.0,B09GSWML11,us
230,2015-08-19,0.0,B09GSWML11,us
231,2015-08-20,0.0,B09GSWML11,us
232,2015-08-21,0.0,B09GSWML11,us
233,2015-08-22,0.0,B09GSWML11,us
234,2015-08-23,0.0,B09GSWML11,us
235,2015-08-24,0.0,B09GSWML11,us
236,2015-08-25,0.0,B09GSWML11,us
237,2015-08-26,0.0,B09GSWML11,us
238,2015-08-27,0.0,B09GSWML11,us
239,2015-08-28,0.0,B09GSWML11,us
240,2015-08-29,0.0,B09GSWML11,us
241,2015-08-30,0.0,B09GSWML11,us
242,2015-08-31,0.0,B09GSWML11,us
243,2015-09-01,0.0,B09GSWML11,us
244,2015-09-02,0.0,B09GSWML11,us
245,2015-09-03,0.0,B09GSWML11,us
246,2015-09-04,0.0,B09GSWML11,us
247,2015-09-05,0.0,B09GSWML11,us
248,2015-09-06,0.0,B09GSWML11,us
249,2015-09-07,0.0,B09GSWML11,us
250,2015-09-08,0.0,B09GSWML11,us
251,2015-09-09,0.0,B09GSWML11,us
252,2015-09-10,0.0,B09GSWML11,us
253,2015-09-11,0.0,B09GSWML11,us
254,2015-09-12,0.0,B09GSWML11,us
255,2015-09-13,0.0,B09GSWML11,us
256,2015-09-14,0.0,B09GSWML11,us
257,2015-09-15,0.0,B09GSWML11,us
258,2015-09-16,0.0,B09GSWML11,us
259,2015-09-17,0.0,B09GSWML11,us
260,2015-09-18,0.0,B09GSWML11,us
261,2015-09-19,0.0,B09GSWML11,us
262,2015-09-20,0.0,B09GSWML11,us
263,2015-09-21,0.0,B09GSWML11,us
264,2015-09-22,0.0,B09GSWML11,us
